Date,Open,High,Low,Close,AdjClose,Volume
1986-12-31,243.37,244.03,241.28,242.17,242.17,"13,92,00,000"
1987-01-02,242.17,246.45,242.17,246.45,246.45,"9,18,80,000"
1987-01-05,246.45,252.57,246.45,252.19,252.19,"18,19,00,000"
1987-01-06,252.20,253.99,252.14,252.78,252.78,"18,93,00,000"
1987-01-07,252.78,255.72,252.65,255.33,255.33,"19,09,00,000"
1987-01-08,255.36,257.28,254.97,257.28,257.28,"19,45,00,000"
1987-01-09,257.26,259.20,256.11,258.73,258.73,"19,30,00,000"
1987-01-12,258.72,261.36,257.92,260.30,260.30,"18,42,00,000"
1987-01-13,260.30,260.45,259.21,259.95,259.95,"17,09,00,000"
1987-01-14,259.95,262.72,259.62,262.64,262.64,"21,42,00,000"
1987-01-15,262.65,266.68,262.64,265.49,265.49,"25,31,00,000"
1987-01-16,265.46,267.24,264.31,266.28,266.28,"21,84,00,000"
1987-01-19,266.26,269.34,264.00,269.34,269.34,"16,28,00,000"
1987-01-20,269.34,271.03,267.65,269.04,269.04,"22,48,00,000"
1987-01-21,269.04,270.87,267.35,267.84,267.84,"18,42,00,000"
1987-01-22,267.84,274.05,267.32,273.91,273.91,"18,87,00,000"
1987-01-23,273.91,280.96,268.41,270.10,270.10,"30,24,00,000"
1987-01-26,270.10,270.40,267.73,269.61,269.61,"13,89,00,000"
1987-01-27,269.61,274.31,269.61,273.75,273.75,"19,23,00,000"
1987-01-28,273.75,275.71,273.03,275.40,275.40,"19,58,00,000"
1987-01-29,275.40,276.85,272.54,274.24,274.24,"20,53,00,000"
1987-01-30,274.24,274.24,271.38,274.08,274.08,"16,34,00,000"
1987-02-02,274.08,277.35,273.16,276.45,276.45,"17,74,00,000"
1987-02-03,276.45,277.83,275.84,275.99,275.99,"19,81,00,000"
1987-02-04,275.99,279.65,275.35,279.64,279.64,"22,24,00,000"
1987-02-05,279.64,282.26,278.66,281.16,281.16,"25,67,00,000"
1987-02-06,281.16,281.79,279.87,280.04,280.04,"18,41,00,000"
1987-02-09,280.04,280.04,277.24,278.16,278.16,"14,33,00,000"
1987-02-10,278.16,278.16,273.49,275.07,275.07,"16,83,00,000"
1987-02-11,275.07,277.71,274.71,277.54,277.54,"17,24,00,000"
1987-02-12,277.54,278.04,273.89,275.62,275.62,"20,04,00,000"
1987-02-13,275.62,280.91,275.01,279.70,279.70,"18,44,00,000"
1987-02-17,279.70,285.49,279.70,285.49,285.49,"18,78,00,000"
1987-02-18,285.49,287.55,282.97,285.42,285.42,"21,82,00,000"
1987-02-19,285.42,286.24,283.84,285.57,285.57,"18,15,00,000"
1987-02-20,285.57,285.98,284.31,285.48,285.48,"17,58,00,000"
1987-02-23,285.48,285.50,279.37,282.38,282.38,"17,05,00,000"
1987-02-24,282.38,283.33,281.45,282.88,282.88,"15,13,00,000"
1987-02-25,282.88,285.35,282.14,284.00,284.00,"18,41,00,000"
1987-02-26,284.00,284.40,280.73,282.96,282.96,"16,58,00,000"
1987-02-27,282.96,284.55,282.77,284.20,284.20,"14,28,00,000"
1987-03-02,284.17,284.83,282.30,283.00,283.00,"15,67,00,000"
1987-03-03,283.00,284.19,282.92,284.12,284.12,"14,92,00,000"
1987-03-04,284.12,288.62,284.12,288.62,288.62,"19,84,00,000"
1987-03-05,288.62,291.24,288.60,290.52,290.52,"20,54,00,000"
1987-03-06,290.52,290.67,288.77,290.66,290.66,"18,16,00,000"
1987-03-09,290.66,290.66,287.12,288.30,288.30,"16,54,00,000"
1987-03-10,288.30,290.87,287.89,290.86,290.86,"17,48,00,000"
1987-03-11,290.87,292.51,289.33,290.31,290.31,"18,69,00,000"
1987-03-12,290.33,291.91,289.66,291.22,291.22,"17,45,00,000"
1987-03-13,291.22,291.79,289.88,289.89,289.89,"15,09,00,000"
1987-03-16,289.88,289.89,286.64,288.23,288.23,"13,49,00,000"
1987-03-17,288.09,292.47,287.96,292.47,292.47,"17,73,00,000"
1987-03-18,292.49,294.58,290.87,292.78,292.78,"19,81,00,000"
1987-03-19,292.73,294.46,292.26,294.08,294.08,"16,61,00,000"
1987-03-20,294.08,298.17,294.08,298.17,298.17,"23,40,00,000"
1987-03-23,298.16,301.17,297.50,301.16,301.16,"18,91,00,000"
1987-03-24,301.17,301.92,300.14,301.64,301.64,"18,99,00,000"
1987-03-25,301.52,301.85,299.36,300.38,300.38,"17,13,00,000"
1987-03-26,300.39,302.72,300.38,300.93,300.93,"19,60,00,000"
1987-03-27,300.96,301.41,296.06,296.13,296.13,"18,44,00,000"
1987-03-30,296.10,296.13,286.69,289.20,289.20,"20,84,00,000"
1987-03-31,289.21,291.87,289.07,291.70,291.70,"17,18,00,000"
1987-04-01,291.59,292.38,288.34,292.38,292.38,"18,26,00,000"
1987-04-02,292.41,294.47,292.02,293.63,293.63,"18,30,00,000"
1987-04-03,293.64,301.30,292.30,300.41,300.41,"21,34,00,000"
1987-04-06,300.46,302.21,300.41,301.95,301.95,"17,37,00,000"
1987-04-07,301.94,303.65,296.67,296.69,296.69,"18,64,00,000"
1987-04-08,296.72,299.20,295.18,297.26,297.26,"17,98,00,000"
